Gene	Cytoband	(A) FLT3 mutation	(B) FLT3 non mutation	(A) FLT3 mutation	(B) FLT3 non mutation	Log Ratio	p-Value	q-Value	Higher expression in
ZC3H14	14q31.3	3.91	3.90	0.31	0.33	0.01	0.816	0.904	(A) FLT3 mutation
ZNF624	17p11.2	1.53	1.52	0.39	0.42	0.02	0.816	0.904	(A) FLT3 mutation
ZNF862	7q36.1	2.77	2.79	0.56	0.56	-0.02	0.816	0.904	(B) FLT3 non mutation
GAS2L1	22q12.2	1.81	1.77	1.01	1.01	0.04	0.816	0.904	(A) FLT3 mutation
POLB	8p11.21	3.88	3.89	0.35	0.45	-0.02	0.816	0.904	(B) FLT3 non mutation
UBE2W	8q21.11	3.91	3.89	0.52	0.54	0.02	0.816	0.904	(A) FLT3 mutation
NR1D1	17q21.1	2.44	2.42	0.46	0.48	0.02	0.816	0.904	(A) FLT3 mutation
RPL7A	9q34.2	8.13	8.15	0.45	0.55	-0.02	0.817	0.905	(B) FLT3 non mutation
PCAT4	4q21.21	0.04	0.04	0.10	0.11	-0.00	0.817	0.905	(B) FLT3 non mutation
KSR1	17q11.2	3.00	2.98	0.58	0.73	0.02	0.817	0.905	(A) FLT3 mutation
ZNF268	12q24.33	2.43	2.41	0.52	0.54	0.02	0.817	0.905	(A) FLT3 mutation
ATXN8OS	13q21.33	0.02	0.02	0.03	0.05	-0.00	0.817	0.905	(B) FLT3 non mutation
MAN1A2	1p12	3.84	3.86	0.52	0.47	-0.02	0.817	0.905	(B) FLT3 non mutation
KMT5A	12q24.31	3.95	3.94	0.35	0.33	0.01	0.817	0.905	(A) FLT3 mutation
PMVK	1q21.3	4.17	4.16	0.33	0.40	0.01	0.818	0.905	(A) FLT3 mutation
NAP1L4	11p15.4	5.26	5.25	0.27	0.30	0.01	0.818	0.905	(A) FLT3 mutation
CD164L2	1p36.11	0.07	0.06	0.22	0.13	0.01	0.818	0.905	(A) FLT3 mutation
EBLN2	3p13	3.51	3.50	0.41	0.45	0.02	0.818	0.905	(A) FLT3 mutation
ACP2	11p11.2	3.51	3.49	0.57	0.62	0.02	0.818	0.905	(A) FLT3 mutation
POLR2J	7q22.1	3.56	3.54	0.47	0.50	0.02	0.818	0.905	(A) FLT3 mutation
OR4D1	17q22	0.04	0.04	0.07	0.07	0.00	0.818	0.905	(A) FLT3 mutation
CHD1	5q15-q21.1	4.47	4.49	0.36	0.53	-0.02	0.818	0.905	(B) FLT3 non mutation
SNORA78	16p13.3	1.21	1.19	0.59	0.72	0.02	0.818	0.905	(A) FLT3 mutation
SH3GLB1	1p22.3	4.69	4.68	0.28	0.36	0.01	0.818	0.905	(A) FLT3 mutation
APMAP	20p11.21	5.58	5.60	0.47	0.58	-0.02	0.818	0.905	(B) FLT3 non mutation
CYTH3	7p22.1	2.45	2.47	0.51	0.58	-0.02	0.818	0.905	(B) FLT3 non mutation
SYNCRIP	6q14.3	5.52	5.50	0.40	0.36	0.02	0.818	0.905	(A) FLT3 mutation
FAHD1	16p13.3	2.62	2.60	0.35	0.37	0.01	0.818	0.905	(A) FLT3 mutation
BNIPL	1q21.3	0.58	0.59	0.21	0.25	-0.01	0.818	0.906	(B) FLT3 non mutation
PNPLA1	6p21.31	0.65	0.67	0.62	0.65	-0.02	0.818	0.906	(B) FLT3 non mutation
ZNF526	19q13.2	2.88	2.87	0.27	0.39	0.01	0.819	0.906	(A) FLT3 mutation
PUM2	2p24.1	5.52	5.53	0.33	0.35	-0.01	0.819	0.906	(B) FLT3 non mutation
TTLL2	6q27	0.08	0.08	0.15	0.24	-0.01	0.819	0.906	(B) FLT3 non mutation
TAF9B	Xq21.1	3.82	3.84	0.43	0.41	-0.02	0.819	0.906	(B) FLT3 non mutation
TBX19	1q24.2	2.20	2.19	0.35	0.41	0.01	0.819	0.906	(A) FLT3 mutation
HAO2	1p12	0.01	0.01	0.02	0.03	0.00	0.819	0.906	(A) FLT3 mutation
CRACR2A	12p13.32	3.17	3.15	0.44	0.45	0.02	0.819	0.906	(A) FLT3 mutation
FHL1	Xq26.3	3.00	2.95	1.32	1.37	0.05	0.819	0.906	(A) FLT3 mutation
TRAF6	11p12	3.32	3.31	0.26	0.38	0.01	0.819	0.906	(A) FLT3 mutation
SYT14P1	4q13.2	0.03	0.02	0.04	0.05	0.00	0.819	0.906	(A) FLT3 mutation
SOS2	14q21.3	4.45	4.46	0.38	0.40	-0.02	0.819	0.906	(B) FLT3 non mutation
CD276	15q24.1	1.04	1.01	0.94	1.04	0.04	0.819	0.906	(A) FLT3 mutation
RNFT2	12q24.22	0.73	0.71	0.71	0.64	0.03	0.819	0.906	(A) FLT3 mutation
WHAMMP3	15q11.2	1.46	1.49	0.80	0.96	-0.03	0.819	0.906	(B) FLT3 non mutation
C1ORF43	1q21.3	5.67	5.68	0.27	0.28	-0.01	0.819	0.906	(B) FLT3 non mutation
NEDD1	12q23.1	3.27	3.28	0.38	0.48	-0.02	0.820	0.906	(B) FLT3 non mutation
DEFA6	8p23.1	0.07	0.07	0.13	0.18	0.01	0.820	0.906	(A) FLT3 mutation
SCCPDH	1q44	5.19	5.16	0.60	0.66	0.02	0.820	0.906	(A) FLT3 mutation
ZNF529	19q13.12	3.06	3.04	0.63	0.60	0.02	0.820	0.906	(A) FLT3 mutation
CREBZF	11q14.1	4.29	4.31	0.49	0.51	-0.02	0.820	0.906	(B) FLT3 non mutation
CTCF	16q22.1	4.97	4.96	0.27	0.31	0.01	0.820	0.906	(A) FLT3 mutation
KLHL24	3q27.1	3.99	4.01	0.44	0.59	-0.02	0.820	0.906	(B) FLT3 non mutation
ARL14	3q25.33	0.01	0.01	0.02	0.03	0.00	0.820	0.906	(A) FLT3 mutation
ATL3	11q13.1	4.37	4.39	0.44	0.46	-0.02	0.820	0.906	(B) FLT3 non mutation
FGL2	7q11.23	4.13	4.21	2.17	1.82	-0.08	0.820	0.906	(B) FLT3 non mutation
TIMM13	19p13.3	4.25	4.23	0.47	0.57	0.02	0.820	0.906	(A) FLT3 mutation
GADD45GIP1	19p13.13	4.61	4.59	0.53	0.58	0.02	0.820	0.906	(A) FLT3 mutation
ZNF558	19p13.2	3.08	3.10	0.47	0.48	-0.02	0.821	0.907	(B) FLT3 non mutation
DRP2	Xq22.1	0.23	0.24	0.18	0.20	-0.01	0.821	0.907	(B) FLT3 non mutation
FREM2	13q13.3	0.01	0.01	0.03	0.04	0.00	0.821	0.907	(A) FLT3 mutation
CEP131	17q25.3	2.58	2.56	0.51	0.51	0.02	0.821	0.907	(A) FLT3 mutation
B3GAT2	6q13	1.54	1.55	0.28	0.35	-0.01	0.821	0.907	(B) FLT3 non mutation
PHLDA2	11p15.4	0.55	0.58	0.56	0.57	-0.02	0.821	0.907	(B) FLT3 non mutation
GABRR3	3q11.2	0.02	0.02	0.06	0.05	-0.00	0.821	0.907	(B) FLT3 non mutation
CCL20	2q36.3	0.11	0.12	0.28	0.23	-0.01	0.821	0.907	(B) FLT3 non mutation
CALHM2	10q24.33	3.35	3.39	0.87	0.89	-0.03	0.822	0.907	(B) FLT3 non mutation
COX4I1	16q24.1	6.14	6.16	0.43	0.51	-0.02	0.822	0.907	(B) FLT3 non mutation
CDC25A	3p21.31	2.63	2.60	0.76	0.65	0.03	0.822	0.907	(A) FLT3 mutation
ZNF780B	19q13.2	3.07	3.04	0.73	0.67	0.03	0.822	0.907	(A) FLT3 mutation
PLD1	3q26.31	3.25	3.28	0.63	0.86	-0.03	0.822	0.907	(B) FLT3 non mutation
PPIF	10q22.3	5.31	5.29	0.60	0.65	0.02	0.822	0.907	(A) FLT3 mutation
TUBGCP2	10q26.3	4.19	4.18	0.34	0.36	0.01	0.822	0.907	(A) FLT3 mutation
ZNF705A	12p13.31	0.01	0.01	0.02	0.03	0.00	0.822	0.907	(A) FLT3 mutation
FAM50A	Xq28	4.35	4.33	0.66	0.66	0.03	0.822	0.907	(A) FLT3 mutation
SMAP1	6q13	3.81	3.83	0.27	0.45	-0.01	0.822	0.907	(B) FLT3 non mutation
LILRA4	19q13.42	1.15	1.19	1.18	1.21	-0.05	0.822	0.907	(B) FLT3 non mutation
ZC3H6	2q14.1	1.96	1.98	0.42	0.51	-0.02	0.823	0.908	(B) FLT3 non mutation
SNORD45A	1p31.1	4.26	4.23	0.64	0.68	0.02	0.823	0.908	(A) FLT3 mutation
NUBP1	16p13.13	4.17	4.15	0.38	0.36	0.01	0.823	0.908	(A) FLT3 mutation
DESI1	22q13.2	4.27	4.24	0.52	0.64	0.02	0.823	0.908	(A) FLT3 mutation
NRSN2	20p13	1.64	1.67	0.88	0.76	-0.03	0.823	0.908	(B) FLT3 non mutation
KRTAP4-4	17q21.2	0.01	0.01	0.02	0.02	0.00	0.823	0.908	(A) FLT3 mutation
SFR1	10q25.1	2.45	2.44	0.39	0.39	0.01	0.823	0.908	(A) FLT3 mutation
C14ORF178	14q24.3	0.87	0.86	0.23	0.26	0.01	0.823	0.908	(A) FLT3 mutation
ARMCX1	Xq22.1	2.41	2.44	0.73	0.92	-0.03	0.823	0.908	(B) FLT3 non mutation
SNX13	7p21.1	2.54	2.55	0.32	0.51	-0.01	0.823	0.908	(B) FLT3 non mutation
NDUFS5	1p34.3	6.53	6.55	0.49	0.51	-0.02	0.823	0.908	(B) FLT3 non mutation
SNORD114-6	14q32.31	0.09	0.08	0.42	0.35	0.02	0.823	0.908	(A) FLT3 mutation
OR2T29	1q44	0.00	0.00	0.00	0.01	-0.00	0.823	0.908	(B) FLT3 non mutation
FIS1	7q22.1	4.87	4.85	0.43	0.47	0.02	0.824	0.908	(A) FLT3 mutation
ARF1	1q42.13	7.26	7.25	0.41	0.38	0.02	0.824	0.908	(A) FLT3 mutation
SNORD54	8q12.1	3.40	3.43	0.71	0.64	-0.03	0.824	0.908	(B) FLT3 non mutation
GOLGA6FP		0.12	0.12	0.22	0.20	-0.01	0.824	0.908	(B) FLT3 non mutation
FAM222A	12q24.11	0.72	0.73	0.33	0.36	-0.01	0.824	0.908	(B) FLT3 non mutation
FBXO10	9p13.2	2.63	2.61	0.42	0.46	0.02	0.824	0.908	(A) FLT3 mutation
NFRKB	11q24.3	4.20	4.18	0.43	0.51	0.02	0.824	0.908	(A) FLT3 mutation
GPC1	2q37.3	1.32	1.34	0.62	0.65	-0.02	0.824	0.908	(B) FLT3 non mutation
UNC5CL	6p21.1	1.73	1.74	0.26	0.35	-0.01	0.824	0.908	(B) FLT3 non mutation
XAB2	19p13.2	4.58	4.56	0.48	0.45	0.02	0.824	0.908	(A) FLT3 mutation
MAOA	Xp11.3	0.62	0.59	0.80	0.80	0.03	0.824	0.908	(A) FLT3 mutation
MOB3B	9p21.2	1.88	1.91	0.77	0.82	-0.03	0.824	0.908	(B) FLT3 non mutation
CERS3	15q26.3	0.09	0.08	0.10	0.08	0.00	0.824	0.908	(A) FLT3 mutation
SMARCC1	3p21.31	5.58	5.56	0.45	0.47	0.02	0.824	0.908	(A) FLT3 mutation
BEX1	Xq22.1	1.81	1.88	1.84	1.92	-0.07	0.825	0.909	(B) FLT3 non mutation
IL36B	2q14.1	0.00	0.00	0.02	0.02	-0.00	0.825	0.909	(B) FLT3 non mutation
SLC9A3	5p15.33	1.63	1.67	0.99	0.95	-0.04	0.825	0.909	(B) FLT3 non mutation
ZNF296	19q13.32	2.38	2.36	0.59	0.60	0.02	0.825	0.909	(A) FLT3 mutation
ZNF573	19q13.12	2.29	2.27	0.58	0.62	0.02	0.825	0.909	(A) FLT3 mutation
SLC1A3	5p13.2	2.00	2.04	1.14	1.10	-0.04	0.825	0.909	(B) FLT3 non mutation
SNORD23	19q13.32	2.28	2.30	0.54	0.62	-0.02	0.825	0.909	(B) FLT3 non mutation
PTP4A2	1p35.2	6.07	6.08	0.34	0.38	-0.01	0.825	0.909	(B) FLT3 non mutation
TREML5P	6p21.1	0.41	0.42	0.41	0.52	-0.02	0.826	0.909	(B) FLT3 non mutation
EQTN	9p21.2	0.14	0.14	0.14	0.16	-0.01	0.826	0.910	(B) FLT3 non mutation
LAMP1	13q34	6.48	6.46	0.32	0.41	0.01	0.826	0.910	(A) FLT3 mutation
MIA	19q13.2	0.68	0.69	0.33	0.47	-0.01	0.826	0.910	(B) FLT3 non mutation
AIDA	1q41	1.88	1.87	0.28	0.34	0.01	0.826	0.910	(A) FLT3 mutation
WBP1L	10q24.32	3.76	3.77	0.45	0.32	-0.02	0.826	0.910	(B) FLT3 non mutation
GPALPP1	13q14.12	3.38	3.37	0.44	0.42	0.02	0.827	0.910	(A) FLT3 mutation
PPBP	4q13.3	3.46	3.38	2.24	2.17	0.08	0.827	0.910	(A) FLT3 mutation
UQCC3	11q12.3	3.41	3.40	0.49	0.56	0.02	0.827	0.910	(A) FLT3 mutation
SNORD114-29	14q32.31	0.06	0.07	0.27	0.23	-0.01	0.827	0.910	(B) FLT3 non mutation
CAMK2B	7p13	0.11	0.11	0.11	0.19	-0.01	0.827	0.910	(B) FLT3 non mutation
OR2K2	9q31.3	0.03	0.03	0.06	0.09	-0.00	0.827	0.910	(B) FLT3 non mutation
KCNQ1	11p15.5-p15.4	2.28	2.24	1.07	1.16	0.04	0.827	0.910	(A) FLT3 mutation
VSTM2L	20q11.23	0.25	0.27	0.52	0.36	-0.02	0.827	0.910	(B) FLT3 non mutation
CNOT11	2q11.2	4.89	4.88	0.25	0.20	0.01	0.827	0.910	(A) FLT3 mutation
NLGN3	Xq13.1	2.28	2.30	0.36	0.43	-0.01	0.827	0.910	(B) FLT3 non mutation
DEDD2	19q13.2	3.92	3.94	0.53	0.57	-0.02	0.827	0.910	(B) FLT3 non mutation
CWF19L1	10q24.31	4.02	4.01	0.25	0.25	0.01	0.827	0.910	(A) FLT3 mutation
UGGT1	2q14.3	4.81	4.79	0.45	0.48	0.02	0.827	0.910	(A) FLT3 mutation
CCR1	3p21.31	3.32	3.25	1.82	1.68	0.07	0.827	0.910	(A) FLT3 mutation
BTNL8	5q35.3	0.20	0.18	0.35	0.26	0.01	0.828	0.910	(A) FLT3 mutation
IFNA17	9p21.3	0.00	0.00	0.01	0.01	0.00	0.828	0.910	(A) FLT3 mutation
ZNF623	8q24.3	3.48	3.46	0.51	0.52	0.02	0.828	0.910	(A) FLT3 mutation
KCTD8	4p13	0.00	0.00	0.01	0.01	0.00	0.828	0.910	(A) FLT3 mutation
WDR26	1q42.11-q42.12	4.98	4.99	0.31	0.35	-0.01	0.828	0.910	(B) FLT3 non mutation
TUBG1	17q21.31	4.03	4.01	0.54	0.64	0.02	0.828	0.910	(A) FLT3 mutation
NUBP2	16p13.3	3.70	3.68	0.48	0.51	0.02	0.828	0.910	(A) FLT3 mutation
MIOX	22q13.33	0.11	0.10	0.14	0.17	0.01	0.828	0.910	(A) FLT3 mutation
TIMM29	19p13.2	3.01	3.00	0.29	0.39	0.01	0.828	0.910	(A) FLT3 mutation
ASH2L	8p11.23	4.98	5.00	0.37	0.37	-0.01	0.829	0.911	(B) FLT3 non mutation
LSM3	3p25.1	5.84	5.86	0.45	0.53	-0.02	0.829	0.911	(B) FLT3 non mutation
STAT4	2q32.2-q32.3	1.91	1.88	0.99	0.90	0.04	0.829	0.911	(A) FLT3 mutation
RFC1	4p14	4.17	4.18	0.38	0.48	-0.02	0.829	0.911	(B) FLT3 non mutation
SPAG5	17q11.2	4.01	4.04	0.71	0.67	-0.03	0.829	0.911	(B) FLT3 non mutation
ZNF875	19q13.12	3.37	3.35	0.53	0.53	0.02	0.829	0.911	(A) FLT3 mutation
DDX11L2	2q14.1	1.17	1.15	0.65	0.75	0.02	0.829	0.911	(A) FLT3 mutation
MCTS2		3.83	3.85	0.53	0.43	-0.02	0.829	0.911	(B) FLT3 non mutation
PPP1R1C	2q31.3-q32.1	0.08	0.07	0.19	0.15	0.01	0.829	0.911	(A) FLT3 mutation
ADORA1	1q32.1	0.05	0.06	0.13	0.10	-0.00	0.829	0.911	(B) FLT3 non mutation
CYP3A4	7q22.1	0.16	0.15	0.15	0.13	0.01	0.829	0.911	(A) FLT3 mutation
ELK3	12q23.1	4.30	4.28	0.65	0.73	0.02	0.829	0.911	(A) FLT3 mutation
RBM15B	3p21.2	4.16	4.15	0.30	0.33	0.01	0.829	0.911	(A) FLT3 mutation
ALDH7A1	5q23.2	1.33	1.30	0.86	0.78	0.03	0.829	0.911	(A) FLT3 mutation
UGT1A5	2q37.1	0.01	0.01	0.03	0.04	-0.00	0.829	0.911	(B) FLT3 non mutation
SP7	12q13.13	0.14	0.15	0.26	0.31	-0.01	0.830	0.911	(B) FLT3 non mutation
SCAPER	15q24.3	2.98	2.97	0.45	0.45	0.02	0.830	0.911	(A) FLT3 mutation
OR10K1	1q23.1	0.00	0.00	0.00	0.01	0.00	0.830	0.912	(A) FLT3 mutation
MBLAC1	7q22.1	0.74	0.73	0.27	0.27	0.01	0.830	0.912	(A) FLT3 mutation
ZFP41	8q24.3	2.69	2.67	0.49	0.48	0.02	0.830	0.912	(A) FLT3 mutation
BRI3BP	12q24.31	3.95	3.93	0.51	0.64	0.02	0.830	0.912	(A) FLT3 mutation
PLA2G12A	4q25	2.95	2.97	0.57	0.63	-0.02	0.830	0.912	(B) FLT3 non mutation
SNORA2B	12q13.11	2.82	2.84	0.65	0.62	-0.02	0.830	0.912	(B) FLT3 non mutation
OR10A5	11p15.4	0.24	0.26	0.41	0.47	-0.02	0.830	0.912	(B) FLT3 non mutation
BGLAP	1q22	4.13	4.14	0.40	0.39	-0.01	0.830	0.912	(B) FLT3 non mutation
DNAJB11	3q27.3	5.00	5.02	0.38	0.46	-0.01	0.830	0.912	(B) FLT3 non mutation
MTREX	5q11.2	4.75	4.74	0.39	0.46	0.01	0.830	0.912	(A) FLT3 mutation
ZNF224	19q13.31	3.94	3.93	0.50	0.53	0.02	0.830	0.912	(A) FLT3 mutation
ARMS2	10q26.13	0.00	0.00	0.01	0.01	-0.00	0.831	0.912	(B) FLT3 non mutation
CACNB1	17q12	1.75	1.73	0.65	0.81	0.03	0.831	0.912	(A) FLT3 mutation
MAS1	6q25.3	0.25	0.27	0.37	0.47	-0.01	0.831	0.912	(B) FLT3 non mutation
ZNF214	11p15.4	0.14	0.15	0.27	0.24	-0.01	0.831	0.912	(B) FLT3 non mutation
RANBP2	2q13	4.26	4.28	0.46	0.59	-0.02	0.831	0.913	(B) FLT3 non mutation
ISG15	1p36.33	3.55	3.59	0.85	1.02	-0.03	0.832	0.913	(B) FLT3 non mutation
RIC1	9p24.1	3.89	3.91	0.41	0.47	-0.02	0.832	0.913	(B) FLT3 non mutation
SLC35A3	1p21.2	3.43	3.44	0.39	0.41	-0.01	0.832	0.913	(B) FLT3 non mutation
SPDYE3	7q22.1	3.59	3.61	0.56	0.58	-0.02	0.832	0.913	(B) FLT3 non mutation
UGT1A3	2q37.1	0.01	0.01	0.03	0.04	-0.00	0.832	0.913	(B) FLT3 non mutation
SCN1A	2q24.3	0.00	0.00	0.01	0.01	0.00	0.832	0.913	(A) FLT3 mutation
FEM1B	15q23	3.85	3.84	0.28	0.34	0.01	0.832	0.913	(A) FLT3 mutation
ACOT2	14q24.3	1.97	1.95	0.46	0.55	0.02	0.832	0.913	(A) FLT3 mutation
SDHAF2	11q12.2	5.10	5.09	0.20	0.26	0.01	0.833	0.914	(A) FLT3 mutation
SUV39H1	Xp11.23	3.37	3.39	0.44	0.44	-0.02	0.833	0.914	(B) FLT3 non mutation
TPRG1	3q28	0.22	0.23	0.29	0.35	-0.01	0.833	0.914	(B) FLT3 non mutation
SPEN	1p36.21-p36.13	5.06	5.05	0.32	0.36	0.01	0.833	0.914	(A) FLT3 mutation
ITGB2	21q22.3	7.28	7.23	1.39	1.34	0.05	0.833	0.914	(A) FLT3 mutation
ADGRA3	4p15.2	2.60	2.63	0.82	0.87	-0.03	0.833	0.914	(B) FLT3 non mutation
PRKAA1	5p13.1	4.53	4.52	0.40	0.43	0.01	0.833	0.914	(A) FLT3 mutation
MYL11		0.70	0.68	0.34	0.46	0.01	0.833	0.914	(A) FLT3 mutation
PSTK	10q26.13	1.61	1.59	0.31	0.34	0.01	0.833	0.914	(A) FLT3 mutation
TMPRSS11A	4q13.2	0.09	0.08	0.12	0.11	0.00	0.833	0.914	(A) FLT3 mutation
TOR4A	9q34.3	3.78	3.76	0.50	0.71	0.02	0.834	0.914	(A) FLT3 mutation
JTB	1q21.3	5.89	5.87	0.31	0.40	0.01	0.834	0.914	(A) FLT3 mutation
RRP12	10q24.1	4.19	4.16	0.64	0.81	0.02	0.834	0.914	(A) FLT3 mutation
TAS2R14	12p13.2	2.26	2.27	0.52	0.51	-0.02	0.834	0.914	(B) FLT3 non mutation
GDF5	20q11.22	0.04	0.04	0.03	0.05	-0.00	0.834	0.914	(B) FLT3 non mutation
GPR162	12p13	2.36	2.39	0.76	1.10	-0.03	0.834	0.914	(B) FLT3 non mutation
NCR2	6p21.1	0.43	0.39	1.12	1.16	0.04	0.834	0.914	(A) FLT3 mutation
MORF4L1	15q25.1	4.75	4.76	0.28	0.40	-0.01	0.834	0.914	(B) FLT3 non mutation
AGFG2	7q22.1	2.08	2.06	0.42	0.50	0.02	0.834	0.914	(A) FLT3 mutation
RPL10A	6p21.31	7.94	7.92	0.52	0.52	0.02	0.834	0.914	(A) FLT3 mutation
ST6GALNAC1	17q25.1	0.55	0.53	0.58	0.71	0.02	0.834	0.914	(A) FLT3 mutation
SHOX2	3q25.32	0.16	0.14	0.27	0.50	0.01	0.834	0.914	(A) FLT3 mutation
TNFRSF10D	8p21.3	3.22	3.24	0.51	0.62	-0.02	0.835	0.914	(B) FLT3 non mutation
SSRP1	11q12.1	5.92	5.90	0.40	0.39	0.01	0.835	0.914	(A) FLT3 mutation
COX6C	8q22.2	3.93	3.95	0.38	0.45	-0.01	0.835	0.915	(B) FLT3 non mutation
TBC1D1	4p14	4.59	4.61	0.51	0.60	-0.02	0.835	0.915	(B) FLT3 non mutation
CCNT2	2q21.3	4.43	4.44	0.37	0.41	-0.01	0.835	0.915	(B) FLT3 non mutation
TENT5A	6q14.1	5.01	5.04	0.76	1.07	-0.03	0.835	0.915	(B) FLT3 non mutation
GOLGA6D	15q24.2	0.00	0.00	0.01	0.01	-0.00	0.835	0.915	(B) FLT3 non mutation
MAPT	17q21.31	0.44	0.43	0.38	0.42	0.01	0.836	0.915	(A) FLT3 mutation
ZFYVE21	14q32.33	2.88	2.86	0.36	0.40	0.01	0.836	0.915	(A) FLT3 mutation
OR52B2	11p15.4	0.12	0.12	0.12	0.13	-0.00	0.836	0.915	(B) FLT3 non mutation
POMP	13q12.3	5.02	5.00	0.44	0.46	0.02	0.836	0.915	(A) FLT3 mutation
FAM138B	2q14.1	0.01	0.01	0.04	0.05	-0.00	0.836	0.916	(B) FLT3 non mutation
SLAMF8	1q23.2	0.84	0.86	0.55	0.55	-0.02	0.836	0.916	(B) FLT3 non mutation
ATP6V1F	7q32.1	5.98	5.96	0.53	0.61	0.02	0.836	0.916	(A) FLT3 mutation
ZFHX4-AS1	8q21.13	0.01	0.01	0.06	0.04	-0.00	0.836	0.916	(B) FLT3 non mutation
ATP6V1C2	2p25.1	4.97	4.98	0.51	0.57	-0.02	0.837	0.916	(B) FLT3 non mutation
MYG1	12q13.13	4.17	4.18	0.35	0.37	-0.01	0.837	0.916	(B) FLT3 non mutation
C15ORF48	15q21.1	0.28	0.28	0.22	0.20	-0.01	0.837	0.916	(B) FLT3 non mutation
GRIA3	Xq25	0.05	0.05	0.16	0.17	-0.01	0.837	0.916	(B) FLT3 non mutation
ODC1	2p25.1	5.45	5.43	0.67	0.61	0.02	0.837	0.916	(A) FLT3 mutation
ZNF16	8q24.3	2.05	2.06	0.34	0.33	-0.01	0.837	0.916	(B) FLT3 non mutation
DCAF12	9p13.3	4.78	4.80	0.61	0.62	-0.02	0.837	0.916	(B) FLT3 non mutation
CEPT1	1p13.3	3.90	3.89	0.32	0.37	0.01	0.837	0.916	(A) FLT3 mutation
LYST	1q42.3	4.77	4.74	0.91	1.09	0.03	0.837	0.916	(A) FLT3 mutation
USP53	4q26	1.98	2.00	0.66	0.79	-0.02	0.837	0.916	(B) FLT3 non mutation
SNORD105	19p13.2	1.32	1.34	0.61	0.68	-0.02	0.837	0.916	(B) FLT3 non mutation
DCAF4L1	4p13	0.41	0.41	0.21	0.22	-0.01	0.838	0.916	(B) FLT3 non mutation
DEFB124	20q11.21	0.02	0.01	0.07	0.05	0.00	0.838	0.916	(A) FLT3 mutation
PPP1R2	3q29	3.76	3.75	0.35	0.42	0.01	0.838	0.916	(A) FLT3 mutation
ESD	13q14.2	4.86	4.87	0.36	0.43	-0.01	0.838	0.916	(B) FLT3 non mutation
WDR83OS	19p13.13	6.14	6.12	0.35	0.48	0.01	0.838	0.916	(A) FLT3 mutation
BEST1	11q12.3	5.02	5.05	0.86	0.81	-0.03	0.838	0.916	(B) FLT3 non mutation
HSD3B7	16p11.2	1.82	1.86	0.95	0.98	-0.03	0.838	0.916	(B) FLT3 non mutation
BRSK1	19q13.42	0.75	0.76	0.45	0.51	-0.02	0.838	0.916	(B) FLT3 non mutation
LIX1L	1q21.1	4.42	4.41	0.39	0.38	0.01	0.838	0.916	(A) FLT3 mutation
SELENOH	11q12.1	4.92	4.91	0.39	0.45	0.01	0.838	0.916	(A) FLT3 mutation
SRP14P1	12p13.31	0.11	0.12	0.11	0.13	-0.00	0.838	0.916	(B) FLT3 non mutation
SRD5A2	2p23.1	0.06	0.06	0.06	0.11	-0.00	0.838	0.917	(B) FLT3 non mutation
SDHAF3	7q21.3	2.80	2.82	0.43	0.48	-0.02	0.838	0.917	(B) FLT3 non mutation
DNASE1	16p13.3	3.05	3.04	0.45	0.43	0.02	0.839	0.917	(A) FLT3 mutation
MFSD13A	10q24.32	2.36	2.37	0.35	0.46	-0.01	0.839	0.917	(B) FLT3 non mutation
SNORD115-31	15q11.2	0.01	0.01	0.04	0.06	-0.00	0.839	0.917	(B) FLT3 non mutation
CXORF65	Xq13.1	2.33	2.36	0.74	0.82	-0.03	0.839	0.917	(B) FLT3 non mutation
CUL2	10p11.21	3.82	3.81	0.28	0.36	0.01	0.839	0.917	(A) FLT3 mutation
OR2T34	1q44	0.01	0.01	0.04	0.03	0.00	0.839	0.917	(A) FLT3 mutation
STIM2	4p15.2	3.23	3.21	0.38	0.50	0.01	0.839	0.917	(A) FLT3 mutation
TBC1D23	3q12.1-q12.2	3.66	3.65	0.38	0.48	0.01	0.839	0.917	(A) FLT3 mutation
PLEKHG4	16q22.1	1.98	2.01	0.89	1.00	-0.03	0.839	0.917	(B) FLT3 non mutation
FCGR3B	1q23.3	1.07	1.12	1.55	1.22	-0.05	0.840	0.917	(B) FLT3 non mutation
ATRNL1	10q25.3	0.06	0.06	0.20	0.35	-0.01	0.840	0.917	(B) FLT3 non mutation
OR5A2	11q12.1	0.00	0.00	0.01	0.01	-0.00	0.840	0.917	(B) FLT3 non mutation
RNASE7	14q11.2	0.10	0.11	0.11	0.14	-0.00	0.840	0.918	(B) FLT3 non mutation
CCDC3	10p13	0.71	0.68	0.81	0.99	0.03	0.840	0.918	(A) FLT3 mutation
RASA2	3q23	3.68	3.66	0.55	0.59	0.02	0.840	0.918	(A) FLT3 mutation
RPL12	9q33.3	7.68	7.66	0.57	0.61	0.02	0.840	0.918	(A) FLT3 mutation
SMARCAD1	4q22.3	4.09	4.11	0.52	0.58	-0.02	0.841	0.918	(B) FLT3 non mutation
FOXL2	3q22.3	0.03	0.03	0.06	0.15	0.00	0.841	0.918	(A) FLT3 mutation
CX3CR1	3p22.2	4.10	4.03	2.25	1.97	0.07	0.841	0.918	(A) FLT3 mutation
TDRD7	9q22.33	3.19	3.17	0.69	0.82	0.02	0.841	0.918	(A) FLT3 mutation
